Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;10;436;5643;2434;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;11;476;5723;2447;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;12;529;5308;2437;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;13;561;5429;2451;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;14;585;5551;2468;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;15;615;5677;2481;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;16;650;5811;2497;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;17;685;5950;2513;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;18;716;6092;2534;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;19;775;6235;2550;100
